website,code,name,category
https://quote.eastmoney.com/unify/r/0.002466,2466,天齐锂业,能源金属
https://quote.eastmoney.com/unify/r/0.000598,598,兴蓉环境,公用事业
https://quote.eastmoney.com/unify/r/1.601838,601838,成都银行,银行
https://quote.eastmoney.com/unify/r/0.002312,2312,川发龙蟒,化肥行业
https://quote.eastmoney.com/unify/r/0.300841,300841,康华生物,生物制品
https://quote.eastmoney.com/unify/r/1.600603,600603,广汇物流,物流行业
https://quote.eastmoney.com/unify/r/0.000876,876,新 希 望,农牧饲渔
https://quote.eastmoney.com/unify/r/1.601208,601208,东材科技,塑料制品
https://quote.eastmoney.com/unify/r/0.000568,568,泸州老窖,酿酒行业
https://quote.eastmoney.com/unify/r/0.000155,155,川能动力,电力行业
https://quote.eastmoney.com/unify/r/1.600039,600039,四川路桥,工程建设
https://quote.eastmoney.com/unify/r/0.000858,858,五 粮 液,酿酒行业
https://quote.eastmoney.com/unify/r/0.002697,2697,红旗连锁,商业百货
https://quote.eastmoney.com/unify/r/1.688709,688709,成都华微,半导体
https://quote.eastmoney.com/unify/r/0.000688,688,国城矿业,有色金属
https://quote.eastmoney.com/unify/r/0.002497,2497,雅化集团,化学制品
https://quote.eastmoney.com/unify/r/0.301050,301050,雷电微力,半导体
https://quote.eastmoney.com/unify/r/1.600793,600793,宜宾纸业,造纸印刷
https://quote.eastmoney.com/unify/r/1.688302,688302,海创药业...,生物制品
https://quote.eastmoney.com/unify/r/1.688283,688283,坤恒顺维,专用设备
https://quote.eastmoney.com/unify/r/0.300425,300425,中建环能,环保行业
https://quote.eastmoney.com/unify/r/1.603477,603477,巨星农牧,农牧饲渔
https://quote.eastmoney.com/unify/r/1.688222,688222,成都先导,医疗服务
https://quote.eastmoney.com/unify/r/1.600391,600391,航发科技,航天航空
https://quote.eastmoney.com/unify/r/0.002539,2539,云图控股,化肥行业
https://quote.eastmoney.com/unify/r/0.002749,2749,国光股份,农药兽药
https://quote.eastmoney.com/unify/r/1.603053,603053,成都燃气,燃气
https://quote.eastmoney.com/unify/r/0.000593,593,德龙汇能,燃气
https://quote.eastmoney.com/unify/r/0.300937,300937,药易购,医药商业
https://quote.eastmoney.com/unify/r/0.301239,301239,普瑞眼科,医疗服务
https://quote.eastmoney.com/unify/r/0.002190,2190,成飞集成,汽车零部件
https://quote.eastmoney.com/unify/r/0.300987,300987,川网传媒,文化传媒
https://quote.eastmoney.com/unify/r/1.600331,600331,宏达股份,有色金属
https://quote.eastmoney.com/unify/r/0.300535,300535,达威股份,化学制品
https://quote.eastmoney.com/unify/r/0.002951,2951,*ST金时,包装材料
https://quote.eastmoney.com/unify/r/0.300463,300463,迈克生物,医疗器械
https://quote.eastmoney.com/unify/r/0.002798,2798,帝欧家居,装修建材
https://quote.eastmoney.com/unify/r/0.002259,2259,ST升达,燃气
https://quote.eastmoney.com/unify/r/1.600779,600779,水井坊,酿酒行业
https://quote.eastmoney.com/unify/r/0.000586,586,汇源通信,通信设备
https://quote.eastmoney.com/unify/r/1.688528,688528,秦川物联,仪器仪表
https://quote.eastmoney.com/unify/r/1.688776,688776,国光电气,电子元件
https://quote.eastmoney.com/unify/r/1.688070,688070,纵横股份,航天航空
https://quote.eastmoney.com/unify/r/0.002480,2480,新筑股份,通用设备
https://quote.eastmoney.com/unify/r/0.002978,2978,安宁股份,有色金属
https://quote.eastmoney.com/unify/r/1.603333,603333,尚纬股份,电网设备
https://quote.eastmoney.com/unify/r/0.300504,300504,天邑股份,通信设备
https://quote.eastmoney.com/unify/r/1.688319,688319,欧林生物,生物制品
